video_id,search_keyword,title,channel_name,upload_date,view_count,like_count,comment_count_total,comment_text,comment_author,comment_likes,comment_date
4HrrfC5gfcU,coffee shop aesthetic karawang,Coffee Shop Viral di Jakarta #cikini #coffeeshop #kopi,Parboaboa,2025-08-25T03:00:04Z,263,9,2,estetik bgt,@nellytampubolon-u8i,0,2025-08-26T17:05:31Z
4HrrfC5gfcU,coffee shop aesthetic karawang,Coffee Shop Viral di Jakarta #cikini #coffeeshop #kopi,Parboaboa,2025-08-25T03:00:04Z,263,9,2,"perubahan zaman ya, inget dulu thn 90an sering ke kantor pos, sekarang ada yg jadi cafe ya😢",@arisdanfarida2025,0,2025-08-26T15:06:00Z
K4e7QXwlKNU,coffee shop aesthetic karawang,"☕️ Hidden Gem di Jakarta! | Bruno Cafe ✨Tempat cozy,vibes aesthetic,tempat yg bikin balik lagi😍",Ku Kira Vlog,2025-08-24T11:31:28Z,1691,10,0,,,0,
6i406IaUcUY,coffee shop aesthetic karawang,Kafe estetik vibes Bali ada di Karawang #padeecaffe #hakibfamilytv,Hakib Family TV,2025-08-13T11:24:48Z,112,2,0,,,0,
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,Always ❤ your channel.,@me16-bh4om,1,2025-08-08T12:31:27Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,Nice place to visit,@wonderfullmomment,0,2025-08-11T01:16:23Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,very niceeeeee,@KKcampa,0,2025-08-09T13:45:44Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,😍,@ireneladies,0,2025-08-08T12:41:33Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,❤,@evelynyvargas,0,2025-08-08T11:42:39Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,สวยอะเหมือนในหนังเลยจ้า,@Natthawadee-z6v,0,2025-08-08T14:31:27Z
SRE8tW7-_q8,coffee shop aesthetic karawang,"Jakarta vlog (rooftop cafe, trendy matcha, must try food & orange groves pik2)",estelleinaday,2025-08-08T09:40:00Z,12768,204,12,Love your channel and outfit. Could you put link where do you get your outfit in the link description?,@c.kanadi,0,2025-08-08T17:17:23Z
0An0t073zAI,coffee shop aesthetic karawang,#feel #aesthetic #vlog #cafedibekasi #bekasiupdate #summareconbekasi #danausummarecon #bekasihits,Teman Kaniya,2025-07-27T15:37:04Z,349,4,0,,,0,
Mmw4lmx8K2o,coffee shop aesthetic karawang,Cafe estetik jakarta #cafe #restaurant #kuliner #placetogo #fyp #foryourpage #jakarta,Stefanie Pamela,2025-07-24T01:17:27Z,216,1,0,,,0,
