Nama_Tempat,Kategori,Jenis_Masakan,Latitude,Longitude,Alamat_Jalan,Kota
PappaRich,restaurant,malaysian,-6.2740234,106.97437939999999,Jalan Boulevard Raya Barat,Kota Bekasi
Sushi Mura - Pegangsaan Dua,restaurant,,-6.148169800000001,106.91050799999998,,
Indogrosir Bintara,grocery,,-6.2206729,106.96051349999999,,
Martabak Pizza Orins,restaurant,,-6.2181383,106.9394402,,
Union,cafe,,-6.1561084,106.9088631,,
Roti'O,bakery,,-6.255477400000001,107.14515589999999,,
Hotel Holiday Inn Cikarang Jababeka,hotel,,-6.294237299999999,107.14520780000001,,
Oakwood Residence Cikarang,hotel,,-6.2950486,107.1453369,,
Living Plaza Jababeka,supermarket,,-6.299120399999999,107.14987599999999,,
Gokana Ramen & Tepan Mall Kcp Karawng,restaurant,,-6.3274116,107.29222109999999,,
Minimarket Pintu Air 2 Marga Mulya,convenience,,-6.2374299,106.9995336,,
Living Plaza Harapan Indah,supermarket,,-6.1843068,106.9746085,,
OYO Life 2326 Springlake Apartment,hotel,,-6.2232322999999985,106.99840909999999,,
OYO 2942 Apartement River View Jababeka,hotel,,-6.294943,107.1347928,,
Pempek Gaby Kranji,restaurant,,-6.225149999999999,106.97957979999998,,
J.CO Donuts & Coffee - Ruko Graha Bulevar Summarecon Bekasi,cafe,,-6.2265487,106.995818,,
Warkop Nitisuka Pasirsari,restaurant,,-6.319346399999998,107.14190189999998,,
Holywings Bekasi - Margajaya,restaurant,,-6.225132699999999,107.00324759999998,,
Simetri Coffee Roasters - Marga Mulya,cafe,,-6.223477,106.99721049999998,,
Warteg Lala,restaurant,,-6.263220400000001,107.0826558,,
FamilyMart,convenience,,-6.249634,106.9090115,Jalan Jati Waringin,
Kosan Pak Ngateno,motel,,-6.330966299999999,107.30636389999998,Puri Teluk Jambe Blok B10,Karawang
Odua STTD Cibitung,hotel,,-6.291944399999998,107.0683658,,
Mono Music & Caffee,cafe,asian;regional,-6.248647399999999,106.98119259999999,"Jl. KH. Noer Ali No.52, RT.007/RW.003,",Bekasi
Alam Sari,restaurant,indonesian,-6.347053999999999,107.1818384,Jalana Ganesha Boulevard,
Taliwang Bali,restaurant,indonesian,-6.226101099999999,107.00045389999998,,
Sushi Tei,restaurant,sushi,-6.2250578,107.0014918,,
Bubur Ayam Favorit,restaurant,,-6.189897,107.0254397,,
Soto Betawi AWWA,restaurant,lunch;cafe/diner;breakfast;meat;indonesian;coffee_shop;asian,-6.2137973,107.02217209999999,Jalan Telaga Mas 1,Bekasi
Ayam Geprek Ibu Erwin,restaurant,chicken;asian,-6.3267438,106.97447859999998,Villa Nusa Indah 2 EE6,Bogor Regency
NgopiMura,cafe,coffee_shop,-6.317089799999999,107.02525909999999,"Jl. WR. Supratman, RT.001/RW.007, Cimuning, Kec. Mustika Jaya",Bekasi
rumah khorul,guest_house,,-6.210286699999999,107.06198749999999,,
"DAMANKA, Bekasi Selatan.",restaurant,coffee_shop;asian,-6.2795608,106.96911949999999,Jalan Pengairan,Bekasi Selatan
Soto Ayam Ceker Surabaya,restaurant,,-6.2950892,106.99837169999999,Gang Haji Siin,
Nasi Uduk Pecel Lele Mas Kasirun (Cab Kranggan),restaurant,,-6.2951842,106.99906160000002,,
Warung,convenience,,-6.2961454,106.99851209999999,,
